day,realdata,predict
50.0,1924.9773,1982.2277230507354
49.0,1917.6276,1916.68613328278
48.0,1882.7184,1903.832643907169
47.0,1874.886,1876.7954712051394
46.0,1850.7109,1859.2402442081225
45.0,1801.3875,1837.2275874853494
44.0,1822.0844,1788.666011843073
43.0,1786.8549,1850.1914768175452
42.0,1779.9377,1769.9188488027078
41.0,1825.0738,1771.4211430043044
40.0,1822.0788,1808.3546502612926
39.0,1808.8837,1798.5246256361543
38.0,1789.3193,1788.6405280923095
37.0,1765.4979,1780.7193293058156
36.0,1790.7833,1779.6674384908006
35.0,1763.1188,1764.6841562686377
34.0,1750.0507,1757.392772885619
33.0,1717.4308,1737.5564401528973
32.0,1618.6369,1707.8600167307247
31.0,1636.0534,1608.1229316901997
30.0,1592.1463,1611.2314694137635
29.0,1621.6299,1572.872667958269
28.0,1610.0191,1615.8585642546973
27.0,1637.5953,1597.3475061017452
26.0,1618.0569,1618.3658848221012
25.0,1615.516,1616.3502406592283
24.0,1681.5019,1602.1060244885616
23.0,1662.4820000000002,1671.1043966580862
22.0,1682.119,1682.2832986355509
21.0,1638.7072,1668.9736951384014
20.0,1604.2382,1621.8044736117133
19.0,1613.2759,1582.5220285429364
18.0,1656.0373,1605.7287831596987
17.0,1667.6619,1675.0249057123444
16.0,1636.5306,1652.442845660521
15.0,1690.8451,1614.7966088827968
14.0,1695.0268,1714.8647431586326
13.0,1693.4028,1671.5917163393965
12.0,1698.3454,1682.9677461529523
11.0,1684.0348,1692.3554300188543
10.0,1665.4113,1664.726459836908
9.0,1685.8742,1665.4467594628231
8.0,1697.8414,1669.3370326381503
7.0,1706.8872,1680.5630172982728
6.0,1709.7265,1704.796930927976
5.0,1682.2787,1688.9155365990096
4.0,1670.2657,1670.0565578723456
3.0,1633.6811,1669.4291413241551
2.0,1635.3746,1616.087499593978
1.0,1615.1549,1624.8611450080568
